"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Angus","Primary","P1-P4",2010,0.509,0.015,0.003,0.071,0.331,0.055,0.014,0.002
"Angus","Primary","P1-P4",2011,0.516933497536946,0.0138546798029557,0.00646551724137931,0.0757389162561576,0.317733990147783,0.0452586206896552,0.021551724137931,0.00246305418719212
"Angus","Primary","P1-P4",2012,0.498168498168498,0.0235042735042735,0.0158730158730159,0.0699023199023199,0.317155067155067,0.0616605616605617,NA,NA
"Angus","Primary","P1-P4",2013,0.503386004514673,0.0270880361173815,0.0282167042889391,0.0711060948081264,0.282167042889391,0.0759969902182092,0.0120391271632807,0
"Angus","Primary","P1-P4",2014,0.478249121858957,0.0308024858146447,0.0367468251823831,0.0791677924885166,0.303161307754661,0.0586328019454202,0.0132396649554175,0
"Angus","Primary","P5-P7",2008,0.559,0.036,0.002,0.079,0.193,0.113,0.016,0.002
"Angus","Primary","P5-P7",2009,0.611,0.05,NA,0.074,0.19,0.056,0.016,NA
"Angus","Primary","P5-P7",2010,0.568,0.035,0.002,0.076,0.23,0.068,0.015,0.005
"Angus","Primary","P5-P7",2011,0.568822553897181,0.0576285240464345,NA,0.0928689883913764,0.201907131011609,0.060530679933665,0.0132669983416252,NA
"Angus","Primary","P5-P7",2012,0.583509513742072,0.0452431289640592,0.0101479915433404,0.0845665961945032,0.194503171247357,0.0731501057082452,NA,NA
"Angus","Primary","P5-P7",2013,0.572708113804004,0.030031612223393,0.0194942044257113,0.0785036880927292,0.203371970495258,0.0763962065331928,0.0194942044257113,0
"Angus","Primary","P5-P7",2014,0.559968228752979,0.0413026211278793,0.0293884034948372,0.096505162827641,0.20373312152502,0.0524225575853852,NA,NA
"Angus","Secondary ","S1-S3",2008,0.459,0.07,NA,0.046,0.128,0.289,0.007,NA
"Angus","Secondary ","S1-S3",2009,0.554,0.041,NA,0.034,0.105,0.254,0.009,NA
"Angus","Secondary ","S1-S3",2010,0.547,0.045,0,0.034,0.11,0.251,0.011,0.002
"Angus","Secondary ","S1-S3",2011,0.553390783064818,0.040089921318846,NA,0.0303484451105283,0.117647058823529,0.247283626826527,0.00636942675159236,NA
"Angus","Secondary ","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S1-S3",2014,0.618951612903226,0.0483870967741935,NA,0.0241935483870968,0.104838709677419,0.179435483870968,0.0161290322580645,NA
"Angus","Secondary ","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2014,0.551378446115288,0.037593984962406,NA,0.0150375939849624,0.182957393483709,0.180451127819549,0.0275689223057644,NA
"Angus","SEN","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
