"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Angus","Primary","P5-P7",2009,1614.262,132.1,NA,195.508,501.98,147.952,42.272,NA
"Angus","Primary","P5-P7",2010,1260.392,77.665,4.438,168.644,510.37,150.892,33.285,11.095
"Angus","Primary","P5-P7",2011,1372,139,NA,224,487,146,32,NA
"Angus","Primary","P5-P7",2012,1380,107,24,200,460,173,NA,NA
"Angus","Primary","P5-P7",2013,1087,57,37,149,386,145,37,0
"Angus","Primary","P5-P7",2014,1410,104,74,243,513,132,NA,NA
"Angus","Secondary ","S1-S3",2008,924.885,141.05,NA,92.69,257.92,582.335,14.105,NA
"Angus","Secondary ","S1-S3",2009,1465.33,108.445,NA,89.93,277.725,671.83,23.805,NA
"Angus","Secondary ","S1-S3",2010,1734.537,142.695,0,107.814,348.81,795.921,34.881,6.342
"Angus","Secondary ","S1-S3",2011,1477,107,NA,81,314,660,17,NA
"Angus","Secondary ","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S1-S3",2014,307,24,NA,12,52,89,8,NA
"Angus","Secondary ","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Secondary ","S4-S6",2014,220,15,NA,6,73,72,11,NA
"Angus","SEN","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
